Path,Name,Metadata,Discription
..data\raw\public,tracts2010.shp,https://github.com/t-sutter/RPr-Chicago-Greenspaces/blob/main/data/metadata/tractsMeta.md,Metadata for 2010 Chicago Census Tracts
..data\raw\public,blocks2010.shp,https://github.com/t-sutter/RPr-Chicago-Greenspaces/blob/main/data/metadata/tractsMeta.md,Metadata for 2010 Chicago Census Blocks
..data\raw\public,forest.shp,https://github.com/t-sutter/RPr-Chicago-Greenspaces/blob/main/data/metadata/forestsMeta.md,Metadata for Cook County Forest Preserves in Chicago
..data\raw\public,parks.shp,https://github.com/t-sutter/RPr-Chicago-Greenspaces/blob/main/data/metadata/parksMeta.md,Metadata for Chicago Parks
